Token,Frequency,node_id
de,120042,0
la,95031,1
que,90312,2
el,80866,3
no,80808,4
a,80279,5
en,63005,6
es,55405,7
un,45023,8
se,36976,9
tom,36494,10
los,33415,11
me,32734,12
y,31746,13
una,30791,14
por,29071,15
lo,27347,16
las,23179,17
con,23049,18
su,19697,19
para,18933,20
mi,18826,21
él,18784,22
está,17627,23
qué,17561,24
más,16859,25
te,16790,26
al,15461,27
le,15174,28
del,14753,29
ella,13784,30
si,9842,31
este,9757,32
yo,9716,33
tiene,9618,34
como,9473,35
muy,9421,36
esta,9187,37
son,8836,38
tu,8494,39
mary,8396,40
hay,8277,41
pero,8198,42
ha,8081,43
todo,7941,44
eso,7398,45
estoy,7229,46
fue,7129,47
tengo,7010,48
cuando,6898,49
ya,6691,50
casa,6419,51
estaba,6299,52
hacer,6129,53
todos,6110,54
nos,6056,55
aquí,5904,56
sus,5852,57
puede,5828,58
quiero,5766,59
mucho,5557,60
tiempo,5500,61
tan,5475,62
nada,5461,63
ser,5421,64
bien,5397,65
era,5288,66
he,5260,67
vez,5208,68
puedo,5136,69
algo,4924,70
esto,4892,71
solo,4804,72
gusta,4658,73
dos,4639,74
siempre,4622,75
cómo,4530,76
o,4513,77
hace,4451,78
ahora,4438,79
nunca,4398,80
ese,4295,81
sin,4288,82
soy,4120,83
día,4118,84
están,3979,85
ir,3949,86
favor,3941,87
sé,3860,88
mañana,3843,89
hoy,3791,90
mejor,3744,91
ellos,3724,92
vida,3671,93
va,3636,94
quién,3612,95
dónde,3586,96
años,3576,97
creo,3568,98
esa,3520,99
trabajo,3469,100
había,3459,101
dijo,3452,102
tú,3448,103
voy,3422,104
tienes,3382,105
verdad,3354,106
estás,3313,107
has,3295,108
sobre,3292,109
nadie,3266,110
dinero,3256,111
antes,3242,112
poco,3192,113
mis,3131,114
hablar,3023,115
hasta,3019,116
así,3014,117
mundo,2995,118
libro,2966,119
porque,2956,120
puedes,2929,121
ver,2908,122
ni,2873,123
tres,2801,124
parece,2790,125
usted,2778,126
eres,2775,127
mí,2721,128
hombre,2690,129
uno,2686,130
quiere,2676,131
gente,2646,132
sabe,2584,133
noche,2566,134
maría,2547,135
mismo,2535,136
todavía,2534,137
estar,2502,138
tenía,2484,139
cada,2477,140
padre,2454,141
demasiado,2452,142
tarde,2429,143
han,2417,144
también,2313,145
quieres,2292,146
les,2291,147
hecho,2266,148
desde,2255,149
hizo,2247,150
decir,2228,151
después,2218,152
días,2213,153
alguien,2186,154
agua,2169,155
todas,2165,156
ayer,2161,157
cosas,2160,158
menos,2146,159
tienen,2136,160
nosotros,2136,161
madre,2114,162
entre,2109,163
comer,2087,164
francés,2063,165
nuevo,2060,166
muchos,2041,167
haber,2032,168
coche,2013,169
personas,1992,170
hora,1991,171
inglés,1978,172
tus,1978,173
otra,1956,174
tanto,1955,175
tenemos,1925,176
sí,1905,177
quería,1887,178
perro,1875,179
ti,1849,180
veces,1834,181
año,1814,182
ciudad,1797,183
niños,1796,184
toda,1779,185
durante,1770,186
gran,1769,187
vas,1757,188
sólo,1753,189
otro,1748,190
cuál,1736,191
nuestro,1727,192
tener,1713,193
os,1706,194
estado,1690,195
semana,1688,196
pasado,1686,197
mujer,1680,198
