Token,Frequency,node_id,component_id,in_giant_component
de,120042,0,0,True
la,95031,1,0,True
que,90312,2,0,True
el,80866,3,0,True
no,80808,4,0,True
a,80279,5,0,True
en,63005,6,0,True
es,55405,7,0,True
un,45023,8,0,True
se,36976,9,0,True
tom,36494,10,0,True
los,33415,11,0,True
me,32734,12,0,True
y,31746,13,0,True
una,30791,14,0,True
por,29071,15,0,True
lo,27347,16,0,True
las,23179,17,0,True
con,23049,18,0,True
su,19697,19,0,True
para,18933,20,0,True
mi,18826,21,0,True
él,18784,22,0,True
está,17627,23,0,True
qué,17561,24,0,True
más,16859,25,0,True
te,16790,26,0,True
al,15461,27,0,True
le,15174,28,0,True
del,14753,29,0,True
ella,13784,30,0,True
si,9842,31,0,True
este,9757,32,0,True
yo,9716,33,0,True
tiene,9618,34,0,True
como,9473,35,0,True
muy,9421,36,0,True
esta,9187,37,0,True
son,8836,38,0,True
tu,8494,39,0,True
mary,8396,40,1,False
hay,8277,41,0,True
pero,8198,42,0,True
ha,8081,43,0,True
todo,7941,44,0,True
eso,7398,45,0,True
estoy,7229,46,0,True
fue,7129,47,0,True
tengo,7010,48,0,True
cuando,6898,49,0,True
ya,6691,50,0,True
casa,6419,51,0,True
estaba,6299,52,0,True
hacer,6129,53,0,True
todos,6110,54,0,True
nos,6056,55,0,True
aquí,5904,56,0,True
sus,5852,57,0,True
puede,5828,58,0,True
quiero,5766,59,0,True
mucho,5557,60,0,True
tiempo,5500,61,0,True
tan,5475,62,0,True
nada,5461,63,0,True
ser,5421,64,0,True
bien,5397,65,0,True
era,5288,66,0,True
he,5260,67,0,True
vez,5208,68,0,True
puedo,5136,69,0,True
algo,4924,70,0,True
esto,4892,71,0,True
solo,4804,72,0,True
gusta,4658,73,0,True
dos,4639,74,0,True
siempre,4622,75,0,True
cómo,4530,76,0,True
o,4513,77,0,True
hace,4451,78,0,True
ahora,4438,79,0,True
nunca,4398,80,2,False
ese,4295,81,0,True
sin,4288,82,0,True
soy,4120,83,0,True
día,4118,84,0,True
están,3979,85,0,True
ir,3949,86,0,True
favor,3941,87,0,True
sé,3860,88,0,True
mañana,3843,89,0,True
hoy,3791,90,0,True
mejor,3744,91,3,False
ellos,3724,92,0,True
vida,3671,93,0,True
va,3636,94,0,True
quién,3612,95,0,True
dónde,3586,96,0,True
años,3576,97,0,True
creo,3568,98,0,True
esa,3520,99,0,True
trabajo,3469,100,0,True
había,3459,101,0,True
dijo,3452,102,0,True
tú,3448,103,0,True
voy,3422,104,0,True
tienes,3382,105,0,True
verdad,3354,106,0,True
estás,3313,107,0,True
has,3295,108,4,False
sobre,3292,109,0,True
nadie,3266,110,0,True
dinero,3256,111,0,True
antes,3242,112,0,True
poco,3192,113,0,True
mis,3131,114,0,True
hablar,3023,115,0,True
hasta,3019,116,0,True
así,3014,117,0,True
mundo,2995,118,0,True
libro,2966,119,0,True
porque,2956,120,0,True
puedes,2929,121,0,True
ver,2908,122,0,True
ni,2873,123,0,True
tres,2801,124,0,True
parece,2790,125,0,True
usted,2778,126,0,True
eres,2775,127,0,True
mí,2721,128,0,True
hombre,2690,129,0,True
uno,2686,130,0,True
quiere,2676,131,0,True
gente,2646,132,0,True
sabe,2584,133,0,True
noche,2566,134,0,True
maría,2547,135,0,True
mismo,2535,136,0,True
todavía,2534,137,0,True
estar,2502,138,0,True
tenía,2484,139,0,True
